Date,Open,High,Low,Close,Adj Close,Volume
2018-02-26,12922.160156,13018.150391,12391.209961,12557.990234,12557.990234,19786810000
2018-03-05,12498.450195,12918.820313,12482.780273,12918.820313,12918.820313,17051190000
2018-03-12,12930.429688,12963.419922,12722.929688,12784.389648,12784.389648,18750700000
2018-03-19,12755.549805,12776.330078,12166.540039,12177.700195,12177.700195,17533550000
2018-03-26,12327.059570,12517.259766,12241.480469,12452.059570,12452.059570,14647940000
2018-04-02,12432.889648,12605.080078,12107.719727,12349.110352,12349.110352,16820340000
2018-04-09,12412.940430,12640.879883,12374.919922,12546.049805,12546.049805,15609880000
2018-04-16,12601.400391,12774.370117,12571.209961,12607.160156,12607.160156,16375430000
2018-04-23,12618.070313,12675.929688,12408.780273,12594.019531,12594.019531,17108410000
2018-04-30,12615.349609,12641.929688,12255.849609,12493.349609,12493.349609,18483840000
2018-05-07,12493.349609,12788.750000,12458.250000,12761.820313,12761.820313,17060780000
2018-05-14,12791.889648,12821.540039,12668.750000,12717.419922,12717.419922,16310100000
2018-05-21,12771.570313,12853.330078,12606.860352,12634.940430,12634.940430,15963780000
2018-05-28,12516.549805,12647.919922,12391.150391,12620.830078,12620.830078,15217440000
2018-06-04,12620.830078,12833.570313,12620.830078,12832.070313,12832.070313,17380480000
2018-06-11,12845.080078,12888.980469,12659.969727,12734.639648,12734.639648,19368250000
2018-06-18,12660.669922,12711.679688,12539.830078,12639.570313,12639.570313,19026830000
2018-06-25,12584.950195,12607.389648,12377.040039,12504.250000,12504.250000,17980020000
2018-07-02,12430.700195,12684.349609,12400.540039,12664.879883,12664.879883,10493320000
2018-07-09,12712.330078,12820.080078,12665.599609,12769.500000,12769.500000,14514320000
2018-07-16,12758.519531,12825.690430,12717.070313,12789.910156,12789.910156,15449650000
2018-07-23,12788.500000,12985.570313,12765.580078,12921.339844,12921.339844,16947010000
2018-07-30,12936.780273,12989.459961,12803.900391,12953.339844,12953.339844,17132630000
2018-08-06,12939.769531,13039.559570,12818.009766,12843.490234,12843.490234,15312600000
2018-08-13,12836.650391,12928.179688,12648.320313,12908.259766,12908.259766,16024470000
2018-08-20,12930.150391,13032.250000,12922.839844,12999.440430,12999.440430,13894820000
2018-08-27,13043.429688,13148.419922,12965.480469,13016.889648,13016.889648,14011570000
2018-09-03,12976.049805,12993.160156,12875.629883,12911.120117,12911.120117,12404170000
2018-09-10,12952.089844,13064.879883,12873.379883,13050.519531,13050.519531,15300720000
2018-09-17,13059.230469,13261.769531,13020.580078,13236.440430,13236.440430,18247730000
2018-09-24,13235.209961,13237.809570,13065.929688,13082.519531,13082.519531,16539460000
2018-10-01,13146.299805,13175.610352,12935.650391,12991.950195,12991.950195,17190620000
2018-10-08,12955.690430,13014.919922,12299.049805,12439.419922,12439.419922,20208740000
2018-10-15,12437.740234,12653.889648,12397.250000,12457.269531,12457.269531,17233120000
2018-10-22,12474.150391,12489.799805,11847.790039,11976.950195,11976.950195,21802950000
2018-10-29,12084.490234,12449.940430,11820.330078,12321.799805,12321.799805,23838850000
2018-11-05,12381.690430,12682.059570,12368.190430,12537.530273,12537.530273,18698510000
2018-11-12,12517.730469,12523.009766,12147.669922,12400.280273,12400.280273,20319060000
2018-11-19,12388.110352,12407.820313,12016.080078,12036.240234,12036.240234,13016000000
2018-11-26,12111.200195,12464.410156,12111.200195,12457.549805,12457.549805,19100190000
2018-12-03,12609.700195,12624.750000,11852.830078,11941.929688,11941.929688,12866590000
2018-12-10,11922.719727,12074.910156,11696.580078,11755.379883,11755.379883,19975530000
2018-12-17,11712.809570,11752.740234,11013.419922,11036.839844,11036.839844,27409960000
2018-12-24,10976.230469,11416.519531,10724.190430,11290.950195,11290.950195,14647150000
2018-12-31,11338.240234,11559.019531,11169.459961,11533.339844,11533.339844,15212300000
2019-01-07,11536.049805,11851.549805,11504.769531,11848.009766,11848.009766,19377210000
2019-01-14,11767.530273,12164.700195,11745.570313,12151.769531,12151.769531,18859550000
2019-01-21,12075.400391,12164.480469,11926.809570,12127.250000,12127.250000,14490970000
2019-01-28,12040.660156,12350.549805,11984.860352,12329.690430,12329.690430,19661740000
2019-02-04,12315.490234,12431.950195,12186.660156,12292.139648,12292.139648,18114780000
2019-02-11,12304.799805,12603.839844,12274.950195,12603.469727,12603.469727,18338580000
2019-02-18,12567.679688,12700.059570,12560.349609,12694.519531,12694.519531,14356680000
2019-02-25,12746.410156,12769.639648,12637.849609,12700.669922,12700.669922,19586400000
2019-03-04,12728.959961,12737.500000,12336.490234,12415.129883,12415.129883,18620090000
2019-03-11,12429.889648,12749.570313,12429.889648,12715.769531,12715.769531,20361870000
2019-03-18,12732.269531,12854.820313,12533.290039,12539.410156,12539.410156,18727610000
2019-03-25,12526.490234,12704.589844,12486.059570,12696.879883,12696.879883,16914430000
2019-04-01,12775.839844,12927.900391,12773.530273,12927.719727,12927.719727,16459900000
2019-04-08,12927.730469,12994.980469,12834.450195,12969.540039,12969.540039,15751420000
2019-04-15,12979.269531,13002.839844,12869.849609,12922.709961,12922.709961,13599690000
2019-04-22,12900.410156,13010.990234,12850.120117,12991.200195,12991.200195,16755720000
2019-04-29,12992.730469,13069.089844,12860.610352,13037.879883,13037.879883,17800970000
